Команда			"Длина
Байт"	Байты параметров, начиная с 1. Байт 0 - ID команды									
ID	Название	Описание		1	2	3	4	5	6	7	8	9	10
0x01	ScriptInit	Параметры скрипта. Является первой командой любого скрипта. Режим: 0 = 4 x uint8, 1 = 1 x int32	6	Режим	Data1	Data2	Data3	Data4					
0x02	TriggerParseReg	Парсим входные параметры триггера и записываем результат в регистр	4	ID регистра	Тип данных	Смещение							
													
0x03	SetScriptArgVal	Установить доп. байты для скрипта	7	ID скрипта = CAN ID		Data1	Data2	Data3	Data4				
0x04	SetScriptArgReg8	Установить доп. байты для скрипта. Эту команду запрещено использовать юзерам	7	ID скрипта = CAN ID		ID регистра	ID регистра	ID регистра	ID регистра				
0x05	SetScriptArgReg32	Установить доп. байты для скрипта. Регистр распаковывается в 4 байта автоматически	4	ID скрипта = CAN ID		ID регистра							
													
0x10	IfRegValEqu	Условие сравнения указанного регистра с указанным значением. Операция ==	8	ID регистра	Значение, 4 байта, знаковое				Адрес перехода при false				
0x11	IfRegRegEqu	Условие сравнения указанного регистра с указанным регистром. Операция ==	5	ID регистра	ID регистра	Адрес перехода при false							
0x12	IfRegValNeq	Условие сравнения указанного регистра с указанным значением. Операция !=	8	ID регистра	Значение, 4 байта, знаковое				Адрес перехода при false				
0x13	IfRegRegNeq	Условие сравнения указанного регистра с указанным регистром. Операция !=	5	ID регистра	ID регистра	Адрес перехода при false							
0x14	IfRegValLss	Условие сравнения указанного регистра с указанным значением. Операция <	8	ID регистра	Значение, 4 байта, знаковое				Адрес перехода при false				
0x15	IfRegRegLss	Условие сравнения указанного регистра с указанным регистром. Операция <	5	ID регистра	ID регистра	Адрес перехода при false							
0x16	IfRegValLeq	Условие сравнения указанного регистра с указанным значением. Операция <=	8	ID регистра	Значение, 4 байта, знаковое				Адрес перехода при false				
0x17	IfRegRegLeq	Условие сравнения указанного регистра с указанным регистром. Операция <=	5	ID регистра	ID регистра	Адрес перехода при false							
0x18	IfRegValGtr	Условие сравнения указанного регистра с указанным значением. Операция >	8	ID регистра	Значение, 4 байта, знаковое				Адрес перехода при false				
0x19	IfRegRegGtr	Условие сравнения указанного регистра с указанным регистром. Операция >	5	ID регистра	ID регистра	Адрес перехода при false							
0x1A	IfRegValGeq	Условие сравнения указанного регистра с указанным значением. Операция >=	8	ID регистра	Значение, 4 байта, знаковое				Адрес перехода при false				
0x1B	IfRegRegGeq	Условие сравнения указанного регистра с указанным регистром. Операция >=	5	ID регистра	ID регистра	Адрес перехода при false							
													
0x30	SetRegVal	Установить значение в указанный регистр	6	ID регистра	Значение, 4 байта, знаковое								
0x31	SetRegReg	Установить значение в первый регистр со второго	3	ID регистра	ID регистра								
													
0x40	IncReg	Инкремент значения в регистре	2	ID регистра									
0x41	DecReg	Декремент значения в регистре	2	ID регистра									
0x42	NegReg	Смена знака значения в регистре (унарный минус). Результат в регистре	2	ID регистра									
0x43	AddRegVal	Выполнить сложение числа в регистре с указанным числом. Результат в регистре	6	ID регистра	Значение, 4 байта, знаковое								
0x44	AddRegReg	Выполнить сложение числа в регистре 1 с регистре 2. Результат в регистре 1	3	ID регистра	ID регистра								
